imie,nazwisko,miasto,ulica,nr_domu,nr_mieszkania
Jan,Abac,Warszawa,Nowa,54,23
Bartek,Nowak,Bydgoszcz,Stara,90,59
Kamil,Jakios,Chelmno,Nowsza,31,55
Amelia,Nijak,Plonsk,Starsza,93,75
Bartek,Abac,Warszawa,Starsza,33,131
Bartek,Nowak,Bydgoszcz,Stara,92,149
Kamil,Jakios,Chelmno,Nowsza,57,75
Amelia,Nijak,Plonsk,Starsza,98,61
Kamil,Nijak,Plonsk,Starsza,92,98
Kamil,Nijak,Plonsk,Starsza,57,141
Jan,Abac,Warszawa,Nowa,82,143
Bartek,Nowak,Bydgoszcz,Stara,89,129
Kamil,Jakios,Chelmno,Nowsza,48,110
Amelia,Nijak,Plonsk,Starsza,80,21
Jan,Nijak,Bydgoszcz,Nowa,84,98
Bartek,Nowak,Bydgoszcz,Stara,60,11
Kamil,Jakios,Chelmno,Nowsza,23,50
Amelia,Nijak,Plonsk,Starsza,93,92
Bartek,Nowak,Warszawa,Nowa,87,30
Bartek,Abac,Warszawa,Nowsza,14,23
Jan,Abac,Warszawa,Nowa,76,48
Bartek,Nowak,Bydgoszcz,Stara,36,25
Kamil,Jakios,Chelmno,Nowsza,21,144
Amelia,Nijak,Plonsk,Starsza,92,11
Bartek,Jakios,Bydgoszcz,Starsza,28,20
Bartek,Nowak,Bydgoszcz,Stara,59,23
Kamil,Jakios,Chelmno,Nowsza,90,17
Amelia,Nijak,Plonsk,Starsza,33,23
Kamil,Nowak,Warszawa,Starsza,34,79
Kamil,Abac,Bydgoszcz,Stara,63,91
Jan,Abac,Warszawa,Nowa,70,85
Bartek,Nowak,Bydgoszcz,Stara,22,146
Kamil,Jakios,Chelmno,Nowsza,93,38
Amelia,Nijak,Plonsk,Starsza,27,53
Jan,Abac,Bydgoszcz,Stara,80,93
Bartek,Nowak,Bydgoszcz,Stara,4,61
Kamil,Jakios,Chelmno,Nowsza,91,117
Amelia,Nijak,Plonsk,Starsza,57,4
Kamil,Jakios,Chelmno,Nowa,54,118
Kamil,Jakios,Bydgoszcz,Stara,91,24
Jan,Abac,Warszawa,Nowa,75,14
Bartek,Nowak,Bydgoszcz,Stara,85,51
Kamil,Jakios,Chelmno,Nowsza,38,124
Amelia,Nijak,Plonsk,Starsza,94,2
Amelia,Nijak,Warszawa,Nowsza,100,142
Bartek,Nowak,Bydgoszcz,Stara,12,138
Kamil,Jakios,Chelmno,Nowsza,24,143
Amelia,Nijak,Plonsk,Starsza,41,58
Amelia,Nijak,Chelmno,Starsza,23,22
Kamil,Nijak,Bydgoszcz,Starsza,61,121
Jan,Abac,Warszawa,Nowa,100,23
Bartek,Nowak,Bydgoszcz,Stara,30,123
Kamil,Jakios,Chelmno,Nowsza,21,35
Amelia,Nijak,Plonsk,Starsza,45,122
Bartek,Abac,Warszawa,Nowa,3,35
Bartek,Nowak,Bydgoszcz,Stara,40,47
Kamil,Jakios,Chelmno,Nowsza,85,116
Amelia,Nijak,Plonsk,Starsza,85,32
Amelia,Nowak,Plonsk,Stara,14,57
Bartek,Nowak,Bydgoszcz,Starsza,37,65
Jan,Abac,Warszawa,Nowa,22,23
Bartek,Nowak,Bydgoszcz,Stara,30,109
Kamil,Jakios,Chelmno,Nowsza,1,23
Amelia,Nijak,Plonsk,Starsza,60,35
Bartek,Jakios,Plonsk,Starsza,24,61
Bartek,Nowak,Bydgoszcz,Stara,46,132
Kamil,Jakios,Chelmno,Nowsza,60,121
Amelia,Nijak,Plonsk,Starsza,43,43
Bartek,Abac,Warszawa,Nowa,50,97
Kamil,Nijak,Chelmno,Stara,27,117
Jan,Abac,Warszawa,Nowa,15,62
Bartek,Nowak,Bydgoszcz,Stara,85,82
Kamil,Jakios,Chelmno,Nowsza,63,72
Amelia,Nijak,Plonsk,Starsza,82,76
Amelia,Nowak,Plonsk,Nowsza,54,108
Bartek,Nowak,Bydgoszcz,Stara,69,3
Kamil,Jakios,Chelmno,Nowsza,23,91
Amelia,Nijak,Plonsk,Starsza,66,14
Bartek,Nowak,Chelmno,Starsza,100,76
Bartek,Nijak,Warszawa,Starsza,99,36
Jan,Abac,Warszawa,Nowa,20,134
Bartek,Nowak,Bydgoszcz,Stara,44,121
Kamil,Jakios,Chelmno,Nowsza,41,139
Amelia,Nijak,Plonsk,Starsza,73,78
Amelia,Abac,Chelmno,Stara,43,19
Bartek,Nowak,Bydgoszcz,Stara,90,51
Kamil,Jakios,Chelmno,Nowsza,11,9
Amelia,Nijak,Plonsk,Starsza,72,120
Amelia,Abac,Bydgoszcz,Stara,81,150
Bartek,Jakios,Plonsk,Stara,98,39
Jan,Abac,Warszawa,Nowa,60,109
Bartek,Nowak,Bydgoszcz,Stara,49,74
Kamil,Jakios,Chelmno,Nowsza,18,39
Amelia,Nijak,Plonsk,Starsza,98,14
Jan,Nijak,Warszawa,Nowsza,42,79
Bartek,Nowak,Bydgoszcz,Stara,20,46
Kamil,Jakios,Chelmno,Nowsza,95,1
Amelia,Nijak,Plonsk,Starsza,100,55
Bartek,Nijak,Chelmno,Nowsza,82,94
Bartek,Nowak,Chelmno,Nowsza,14,24
Jan,Abac,Warszawa,Nowa,6,61
Bartek,Nowak,Bydgoszcz,Stara,39,118
Kamil,Jakios,Chelmno,Nowsza,8,50
Amelia,Nijak,Plonsk,Starsza,100,60
Jan,Nijak,Plonsk,Nowsza,91,81
Bartek,Nowak,Bydgoszcz,Stara,82,24
Kamil,Jakios,Chelmno,Nowsza,1,116
Amelia,Nijak,Plonsk,Starsza,74,54
Bartek,Nijak,Bydgoszcz,Nowsza,67,26
Kamil,Jakios,Bydgoszcz,Starsza,80,2
Jan,Abac,Warszawa,Nowa,92,118
Bartek,Nowak,Bydgoszcz,Stara,33,103
Kamil,Jakios,Chelmno,Nowsza,37,72
Amelia,Nijak,Plonsk,Starsza,30,46
Jan,Abac,Warszawa,Starsza,91,99
Bartek,Nowak,Bydgoszcz,Stara,51,82
Kamil,Jakios,Chelmno,Nowsza,38,103
Amelia,Nijak,Plonsk,Starsza,52,116
Amelia,Abac,Plonsk,Starsza,40,83
Bartek,Nowak,Chelmno,Nowa,26,79
Jan,Abac,Warszawa,Nowa,21,78
Bartek,Nowak,Bydgoszcz,Stara,67,43
Kamil,Jakios,Chelmno,Nowsza,100,18
Amelia,Nijak,Plonsk,Starsza,7,116
Kamil,Jakios,Plonsk,Stara,28,127
Bartek,Nowak,Bydgoszcz,Stara,25,115
Kamil,Jakios,Chelmno,Nowsza,19,18
Amelia,Nijak,Plonsk,Starsza,95,125
Bartek,Nijak,Warszawa,Starsza,12,73
Kamil,Nijak,Plonsk,Nowsza,71,69
Jan,Abac,Warszawa,Nowa,6,122
Bartek,Nowak,Bydgoszcz,Stara,54,114
Kamil,Jakios,Chelmno,Nowsza,61,115
Amelia,Nijak,Plonsk,Starsza,54,43
Amelia,Abac,Bydgoszcz,Starsza,24,142
Bartek,Nowak,Bydgoszcz,Stara,50,65
Kamil,Jakios,Chelmno,Nowsza,56,110
Amelia,Nijak,Plonsk,Starsza,45,30
Amelia,Jakios,Warszawa,Starsza,40,18
Jan,Nijak,Warszawa,Starsza,2,143
Jan,Abac,Warszawa,Nowa,97,110
Bartek,Nowak,Bydgoszcz,Stara,19,137
Kamil,Jakios,Chelmno,Nowsza,95,60
Amelia,Nijak,Plonsk,Starsza,19,10
Bartek,Jakios,Warszawa,Starsza,3,51
Bartek,Nowak,Bydgoszcz,Stara,44,137
Kamil,Jakios,Chelmno,Nowsza,96,34
Amelia,Nijak,Plonsk,Starsza,76,25
Bartek,Nowak,Bydgoszcz,Nowa,44,126
Bartek,Jakios,Warszawa,Starsza,68,43
Jan,Abac,Warszawa,Nowa,51,51
Bartek,Nowak,Bydgoszcz,Stara,71,79
Kamil,Jakios,Chelmno,Nowsza,32,148
Amelia,Nijak,Plonsk,Starsza,93,95
Jan,Nijak,Plonsk,Stara,21,79
Bartek,Nowak,Bydgoszcz,Stara,98,74
Kamil,Jakios,Chelmno,Nowsza,83,112
Amelia,Nijak,Plonsk,Starsza,10,109
Jan,Abac,Bydgoszcz,Stara,4,87
Amelia,Nijak,Bydgoszcz,Stara,47,58
Jan,Abac,Warszawa,Nowa,14,126
Bartek,Nowak,Bydgoszcz,Stara,41,116
Kamil,Jakios,Chelmno,Nowsza,76,85
Amelia,Nijak,Plonsk,Starsza,59,63
Kamil,Abac,Plonsk,Nowsza,96,24
Bartek,Nowak,Bydgoszcz,Stara,80,103
Kamil,Jakios,Chelmno,Nowsza,28,11
Amelia,Nijak,Plonsk,Starsza,43,111
Jan,Nijak,Bydgoszcz,Stara,35,105
Bartek,Abac,Plonsk,Nowa,16,96
Jan,Abac,Warszawa,Nowa,77,109
Bartek,Nowak,Bydgoszcz,Stara,11,36
Kamil,Jakios,Chelmno,Nowsza,63,12
Amelia,Nijak,Plonsk,Starsza,20,91
Jan,Nijak,Warszawa,Stara,98,51
Bartek,Nowak,Bydgoszcz,Stara,28,88
Kamil,Jakios,Chelmno,Nowsza,79,33
Amelia,Nijak,Plonsk,Starsza,96,83
Bartek,Abac,Chelmno,Nowa,63,34
Kamil,Abac,Plonsk,Nowsza,43,118
Jan,Abac,Warszawa,Nowa,81,48
